Ward,Population,,,,,,,,
1,16692,,,,,,,,
2,16613,,,,,,,,
3,11106,,,,,,,,
4,10731,,,,,,,,
5,12526,,,,,,,,
6,10171,,,,,,,,
7,20366,,,,,,,,
8,7593,,,,,,,,
9,6746,,,,,,,,
10,10216,,,,,,,,
11,18514,,,,,,,,
12,39995,,,,,,,,
13,29041,,,,,,,,
14,17629,,,,,,,,
15,19228,,,,,,,,
16,39056,,,,,,,,
17,21292,,,,,,,,
18,7431,,,,,,,,
19,14957,,,,,,,,
20,11887,,,,,,,,
21,7718,,,,,,,,
22,21169,,,,,,,,
23,10837,,,,,,,,
24,17830,,,,,,,,
25,20707,,,,,,,,
26,10431,,,,,,,,
27,12008,,,,,,,,
28,9828,,,,,,,,
29,6988,,,,,,,,
30,5688,,,,,,,,
31,7387,,,,,,,,
32,10332,,,,,,,,
33,8368,,,,,,,,
34,11088,,,,,,,,
35,11012,,,,,,,,
36,13966,,,,,,,,
37,15854,,,,,,,,
38,8589,,,,,,,,
39,11574,,,,,,,,
40,7782,,,,,,,,
41,21514,,,,,,,,
42,16649,,,,,,,,
43,9295,,,,,,,,
44,15073,,,,,,,,
45,12537,,,,,,,,
46,28309,,,,,,,,
47,9772,,,,,,,,
48,12686,,,,,,,,
49,30124,,,,,,,,
50,14084,,,,,,,,
51,30057,,,,,,,,
52,9000,,,,,,,,
53,14890,,,,,,,,
54,24226,,,,,,,,
55,13670,,,,,,,,
56,26625,,,,,,,,
57,13359,,,,,,,,
58,31876,,,,,,,,
59,25709,,,,,,,,
60,26951,,,,,,,,
,,,,,,,,,
